CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Hindupur H.O,515201,HO,Delivery,Sri Sathya Sai,ANDHRA PRADESH,13.826869,77.494508
Andhra Pradesh Circle,Kurnool Region,Nandyal Division,Nandyal H.O,518501,HO,Delivery,Nandyal,ANDHRA PRADESH,15.489826,78.487541
Andhra Pradesh Circle,Vijayawada Region,Eluru Division,Eluru H.O,534001,HO,Delivery,Eluru,ANDHRA PRADESH,16.7050833,81.1061389
Andhra Pradesh Circle,Vijayawada Region,Tenali Division,Tenali H.O,522201,HO,Delivery,GUNTUR,ANDHRA PRADESH,16.232149,80.651942
Andhra Pradesh Circle,Visakhapatnam Region,Kakinada Division,Kakinada H.O,533001,HO,Delivery,Kakinada,ANDHRA PRADESH,16.9550556,82.2354722
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Amadalavalasa H.O,532185,HO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.410918,83.899143
Assam Circle,DivReportingCircle,Goalpara Division,Dhubri H.O,783301,HO,Delivery,DHUBRI,ASSAM,26.0186944,89.9942778
Assam Circle,DivReportingCircle,Nalbari Division,Barpeta H.O,781301,HO,Delivery,BARPETA,ASSAM,26.3291389,91.0102500
Assam Circle,DivReportingCircle,Darrang Division,Mangaldoi H.O,784125,HO,Delivery,DARRANG,ASSAM,26.4348442,92.0296825
Bihar Circle,DivReportingCircle,PATNA SAHIB DIVISION,LOHIA NAGAR H.O,800020,HO,Delivery,PATNA,BIHAR,25.59800940,85.15518600
Bihar Circle,East Region Bhagalpur,Saharsa Division,Saharsa HO,852201,HO,Delivery,SAHARSA,BIHAR,25.8840833,86.5923611
Bihar Circle,Muzaffarpur Region,Siwan Division,Siwan HO,841226,HO,Delivery,SIWAN,BIHAR,26.2269722,84.3564167
Bihar Circle,East Region Bhagalpur,Munger Division,Munger HO,811201,HO,Delivery,MUNGER,BIHAR,25.3751389,86.4710833
Bihar Circle,DivReportingCircle,Patna Division,Bankipore HO,800004,HO,Delivery,PATNA,BIHAR,25.6201944,85.1559722
Bihar Circle,DivReportingCircle,Vaishali Division,Hajipur HO,844101,HO,Delivery,VAISHALI,BIHAR,25.6916388,85.2113333
Chattisgarh Circle,DivReportingCircle,Bastar Division,Jagdalpur H.O,494001,HO,Delivery,RAIPUR,CHHATTISGARH,19.05457,82.01241
Chattisgarh Circle,DivReportingCircle,Rajnandgaon Division,Rajnandgaon HO,491441,HO,Delivery,RAJNANDGAON,CHHATTISGARH,21.097923999999999,81.036901999999998
Delhi Circle,DivReportingCircle,Delhi East Division,Jhilmil HO,110095,HO,Delivery,SHAHDARA,DELHI,28.6739167,77.3198333
Delhi Circle,DivReportingCircle,Delhi North Division,Ashok Vihar HO,110052,HO,Delivery,NORTH,DELHI,28.6933611,77.1713889
Delhi Circle,DivReportingCircle,New Delhi South Division,Kalkaji HO,110019,HO,Delivery,SOUTH,DELHI,28.5431667,77.2576667
Delhi Circle,DivReportingCircle,New Delhi South West Division,Sarojini Nagar HO,110023,HO,Delivery,NEW DELHI,DELHI,28.575476,77.199648
Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Gujarat HO,382010,HO,Delivery,GANDHINAGAR,GUJARAT,23.221549,72.648661
Gujarat Circle,Ahmedabad HQ Region,Patan Division,Patan HO,384265,HO,Delivery,PATAN,GUJARAT,23.852903,72.128809
Gujarat Circle,Rajkot Region,Bhavnagar Division,Bhavnagar HO,364001,HO,Delivery,BHAVNAGAR,GUJARAT,21.7750,72.1479
Gujarat Circle,Vadodara Region,Bardoli Division,Bardoli HO,394601,HO,Delivery,SURAT,GUJARAT,21.1174444,73.1138611
Gujarat Circle,Vadodara Region,Bharuch Division,Bharuch HO,392001,HO,Delivery,BHARUCH,GUJARAT,21.6926990,72.9828640
Gujarat Circle,Vadodara Region,Kheda Division,Kheda HO,387411,HO,Delivery,KHEDA,GUJARAT,22.7525000,72.6844722
Gujarat Circle,Vadodara Region,Kheda Division,Nadiad HO,387001,HO,Delivery,KHEDA,GUJARAT,22.6974444,72.8641667
Gujarat Circle,Vadodara Region,Surat Division,Nanpura HO,395001,HO,Delivery,SURAT,GUJARAT,21.1904167,72.8131389
Gujarat Circle,Vadodara Region,Surat Division,Surat HO,395003,HO,Delivery,SURAT,GUJARAT,21.1984722,72.8342778
Haryana Circle,DivReportingCircle,Ambala Division,Ambala G.P.O.,133001,HO,Delivery,AMBALA,HARYANA,30.4943333,76.8345000
Haryana Circle,DivReportingCircle,Ambala Division,Yamunanagar H.O,135001,HO,Delivery,YAMUNANAGAR,HARYANA,30.136043,77.276951
Haryana Circle,DivReportingCircle,Faridabad Division,Faridabad NIT HO,121001,HO,Delivery,FARIDABAD,HARYANA,28.3917778,77.3021389
Haryana Circle,DivReportingCircle,Rohtak Division,Rohtak HO,124001,HO,Delivery,ROHTAK,HARYANA,28.895515,76.606613
